original,parallel,level_partition
0.0453856,0.0667658,0.912137
0.0445105,0.0720736,0.805697
0.043491,0.0667906,0.748249
0.0435,0.0642171,0.781168
0.0435887,0.0679796,0.807145
0.0438046,0.0640149,0.753419
0.0436303,0.0657478,0.802511
0.0434821,0.0654792,0.745757
0.0434925,0.0666155,0.747704
0.0439168,0.062967,0.772999
